DataId,KOR
RookieName,겁쟁이모험가 루키
ChloeName,유쾌한마녀 클로이
SamName,농부 쌤
LukeName,사냥꾼 루크
DukName,도축가 덕
TomName,도적 톰
MarieName,견습마법사 마리
AndreName,뱀파이어 안드레
LaraName,견습사제 라라
MichelleName,훈련교관 미쉘
YulieName,음유시인 율리
StormName,방랑기사 스톰
EllieName,레인져 엘리
LeonName,격투가 레온
WaltName,문지기 월트&비비
XionName,네크로맨서 시온
AlexName,성기사 알렉스
LaurenName,연금술사 로렌
OwenName,오웬
BellaName,무희 벨라
BettyName,인형술사 베티
ValakName,드래고노이드 발락
VanessaName,서큐버스 바네사
AranName,배틀메이지 아란
SylviaName,정령사 실비아
HardyName,숲의수호자 하디
LouisName,창술사 루이
LucyName,암살자 루시
KyleName,데스나이트 카일
KunName,광대 쿤
RookieDescription,마족을 동경하여 마족이 되고싶은 인간
ChloeDescription,전쟁으로 몸이 아픈 사람들을 치료하기 위해 합류
SamDescription,농작지에 살던 농부. 마계의 농작물을 얻기위해 합류
LukeDescription,전쟁으로 딸과 헤어진 인간계에 남은 사냥꾼. 마계에 딸이 있다는 소식을 듣고 합류
DukDescription,마을에서 도축사업을 하던 도축가. 마계의 고기를 얻기위해 합류
TomDescription,전쟁으로 인해 인간계에 갇혀 도적질로 연명하는 꼬마마족. 마계로 돌아가기 위해 합류
MarieDescription,스승을 찾아 헤매는 견습마법사. 마계에서 스승을 찾기위해 합류
AndreDescription,마계의 몰락 귀족. 여성을 좋아하는 카사노바. 전세계 여성을 만나기 위해 합류.
LaraDescription,전쟁으로 몸이 아픈 사람들을 치료하기 위해 합류
MichelleDescription,마계에 갇혀버린 자신의 생도들을 찾기위해 합류
YulieDescription,마계에 자신의 음악을 선사하기 위해 합류
StormDescription,인간에 대한 호기심이 가득한 마녀. 주인공을 마계로 안내한다.
EllieDescription,전쟁중 지휘관에게 배신당했다. 지휘관에게 복수를 위해 합류
LeonDescription,세계의 강자들과 대결하기 위해 떠돌아다닌다. 마계에서 자신의 대결 상대를 찾기위해 합류
WaltDescription,인간계에 잔류되어 인간마을의 수문장 역할을 한다. 하지만 늘상 졸고 있어 박대를 당하여 마계로 돌아가고 싶어 합류
XionDescription,해골을 가지고 놀기 좋아하는 어린이 마족. 
AlexDescription,마계와의 전쟁때 영웅으로 칭송 받던 인간. 전쟁이 끝난 후 신탁을 받고 합류.
LaurenDescription,"마계를 연구하던 연금술사, 마계를 더 깊이 알기 위해 합류"
OwenDescription,"전쟁 시절 군을 통제하던 장교, 전쟁때 잃은 연인의 복수를 위해 합류"
BellaDescription,세계를 떠돌아 다니던 유랑단 단원 마계 공연을 위해 합류
BettyDescription,전쟁중 엄마를 잃어버렸다.슬퍼하는 딸을 위해 베티의 아버지는 인형탈을 뒤집어 쓰고 있다. 엄마를 찾기 위해 합류.
ValakDescription,인간계에 있던 용족 전사. 항상 화가 나있다. 자신의 잠을 방해했던 마왕과 싸우기 위해 합류
VanessaDescription,인간의 꿈을 먹고 사는 마족. 인간의 꿈속에 들어가 괴롭히는걸 좋아한다. 맛있는 인간의 꿈을 수집하기 위해 합류
AranDescription,거인족의 손에 자라 땅의 힘을 사용하는 수인. 마계에 있는 거인족의 고향을 찾아 합류
SylviaDescription,정령의 숲에 살고 있는 정령들의 수호자. 마왕에게 잡혀있는 정령들을 구출하기 위해 합류
HardyDescription,정령의 숲을 지키던 가디언. 마기로 침식당한 숲을 구하기 위해 합류.
LouisDescription,열대에 살고 있던 늑대 부족. 마기로 늑대들이 미쳐 날뒤고 있다. 늑대들을 원래대로 되돌리기 위해 합류.
LucyDescription,청부를 받아 마족을 암살하는 어쌔신. 이번 타깃은 마왕이다. 마왕을 암살하기 위해 합류.
KyleDescription,영혼을 좋아하는 마계 군단장. 마왕으로부터 자신의 소중한 영혼 일부를 잃어버렸다. 소중한 영혼을 찾기 위해 합류
KunDescription,자신의 묘기를 마계에 선사하기 위해 합류
RookieSkillAName,강하게 내려치기
RookieSkillBName,방패로 밀치기
ChloeSkillAName,파이어볼
ChloeSkillBName,라이트닝
SamSkillAName,연속 찌르기
SamSkillBName,곡식의 축복
LukeSkillAName,연사
LukeSkillBName,날렵한 몸놀림
DukSkillAName,강하게 내려치기
DukSkillBName,소고기의 힘
TomSkillAName,단도 뿌리기
TomSkillBName,예리한 시선
MarieSkillAName,마력탄
MarieSkillBName,치유
AndreSkillAName,피의 송곳
AndreSkillBName,흡혈
LaraSkillAName,치유
LaraSkillBName,생명의 기운
MichelleSkillAName,도약
MichelleSkillBName,휩쓸기
YulieSkillAName,치유의 노래
YulieSkillBName,전장의 서곡
StormSkillAName,마구찌르기
StormSkillBName,바람 가르기
EllieSkillAName,맹독화살
EllieSkillBName,멀티샷
LeonSkillAName,권법연타
LeonSkillBName,포효
WaltSkillAName,방패 돌진
WaltSkillBName,비비 돌진
XionSkillAName,해골 부대
XionSkillBName,자폭 해골
AlexSkillAName,저스티스 해머
AlexSkillBName,신성화
LaurenSkillAName,맹독 확산
LaurenSkillBName,냉기 확산
OwenSkillAName,화염검
OwenSkillBName,다중 화염검
BellaSkillAName,조련의 채찍
BellaSkillBName,매혹의 춤
BettySkillAName,인형의 난타
BettySkillBName,인형의 브레스
ValakSkillAName,화염 가르기
ValakSkillBName,화염 브레스
VanessaSkillAName,매혹
VanessaSkillBName,악마의 날개
AranSkillAName,대지 분쇄
AranSkillBName,거인의 손
SylviaSkillAName,정령 소환
SylviaSkillBName,대지의 축복
HardySkillAName,지진
HardySkillBName,숲의 보호
LouisSkillAName,투창
LouisSkillBName,늑대 소환
LucySkillAName,그림자 베기
LucySkillBName,그림자 늪
KyleSkillAName,영혼 수확
KyleSkillBName,망자의 대검
KunSkillAName,폭탄 뿌리기
KunSkillBName,스마일 폭탄
RookieSkillADescription,강한 힘으로 적을 내려친다.
RookieSkillBDescription,적을 방패로 공격하고 기절시킨다.
ChloeSkillADescription,좁은 범위에 광역 피해를 입히는 불덩어리를 소환한다
ChloeSkillBDescription,단일 데미지를 주는 강력한 번개를 소환한다
SamSkillADescription,2회 연달아 공격하여 피해를 준다. 두번째 공격은 더 큰 피해를 준다
SamSkillBDescription,파티에 포함된 영웅 체력 증가
LukeSkillADescription,2회 연달아 화살을 날린다. 두번째 화살은 더 큰 피해를 준다
LukeSkillBDescription,파티에 포함된 모든 영웅 회피 증가
DukSkillADescription,전방의 적을 연속적으로 내려친다.
DukSkillBDescription,파티에 포함된 모든 영웅 공격력 증가
TomSkillADescription,적 2명에게 단도를 던진다.
TomSkillBDescription,파티에 포함된 모든 영웅 원거리 공격 증가
MarieSkillADescription,강력한 에너지가 담긴 마력탄을 발사한다
MarieSkillBDescription,아군 1명을 치유한다.
AndreSkillADescription,주변 적들에게 광역 피해를 주고 출혈을 일으킨다.
AndreSkillBDescription,주변 적들에게 피해를 주고 피해량에 비례해 생명력을 흡수한다. 출형 상태인 적에게는 더 큰 피해를 준다
LaraSkillADescription,기본 공격 대신 아군 1명을 치유한다.
LaraSkillBDescription,생명의 기운을 발산하여 주변 아군을 치유한다.
MichelleSkillADescription,적을 향하여 도약하며 검을 휘둘러 광역 피해를 입힌다.
MichelleSkillBDescription,자신을 중심으로 검을 크게 휘둘러 주변 적들에게 광역 피해를 입힌다.
YulieSkillADescription,아군의 상처를 잊게 만드는 연주를 하여 연주를 듣는 모든 아군의 생명력을 회복시킨다.
YulieSkillBDescription,사기를 올려주는 연주를 하여 아군의 공격력을 상승 시킨다.
StormSkillADescription,단일 대상에게 연속적으로 4번찔러 몸 곳곳에 상처를 남겨 출혈시킨다.
StormSkillBDescription,전방으로 검기를 날려 검기가 지나간 자리에 있는 모든 적에게 데미지를 준다.
EllieSkillADescription,단일 적을 항하여 독이 묻은 화살을 날린다
EllieSkillBDescription,부채꼴 모양으로 5개의 화살을 발사한다.
LeonSkillADescription,적 1명을 수차례 가격하여 피해를 준다
LeonSkillBDescription,크게 포효하여 적들에게 광역 피해를 입히고 아군의 공격력을 상승시킨다
WaltSkillADescription,방패를 앞세워 돌진한다. 경로상에 있는 적들을 공중으로 띄운다
WaltSkillBDescription,비비가 전방으로 돌진하여 적들을 관통한다. 돌진을 마친 후 월트에게 돌아와 월트의 체력을 회복시킨다.
XionSkillADescription,공격을 돕는 해골을 소환한다.
XionSkillBDescription,소환된 해골 중 한마리를 적에게 돌진시켜 광역 피해를 입히고 중독 시킨다.
AlexSkillADescription,전방의 땅을 강하게 내려쳐 광역 피해를 주고 기절시킨다.
AlexSkillBDescription,자신을 주위로 넓은 범위를 신성한 땅으로 만들어 아군을 지속적으로 치유한다
LaurenSkillADescription,독이 든 병을 던져 지역을 오염시키고 지속적으로 데미지를 준다.
LaurenSkillBDescription,온 세상을 얼려버릴것 같은 한기가 가득찬 병을 던져 광역 범위에 있는 적을 얼리고 피해를 준다.
OwenSkillADescription,화염으로 이루어진 검을 휘둘러 전방 90도에 데미지를 주고 화상 상태로 만든다
OwenSkillBDescription,화염으로 이루어진 검을 소환하여 광역 피해를 준다
BellaSkillADescription,자신을 중심으로 적들을 끌어 당기며 광역 피해를 준다
BellaSkillBDescription,아군의 공격속도와 이동속도를 증가시킨다
BettySkillADescription,인형이 커다란 손을 6번 휘둘러 전방의 적들에게 광역 피해를 입힌다. 
BettySkillBDescription,전방에 혹독한 한기를 뱉어 광역 피해를 주고 얼린다.
ValakSkillADescription,양손을 휘둘러 전방에 피해를 준다.
ValakSkillBDescription,"일직선으로 브레스를 뱉어 피해를 주고, 해당 지역을 불바다로 만든다. 불바다에 서있는 캐릭터는 지속 데미지를 받는다."
VanessaSkillADescription,거부할 수 없는 강력한 매력으로 유혹한다. 유혹당한 적은 기절 상태에 빠진다.
VanessaSkillBDescription,Empty
AranSkillADescription,강력한 힘으로 지면을 내려쳐 주변 적들을 공중으로 띄우고 기절시킨다.
AranSkillBDescription,Empty
SylviaSkillADescription,정령을 소환하여 상처 입은 아군을 치유한다
SylviaSkillBDescription,주변을 축복의 대지로 만들어 범위 안의 아군을 지속적으로 치유한다
HardySkillADescription,땅에 줄기를 박아 넣어 광역 범위에 피해를 주고 적들을 기절 시킨다
HardySkillBDescription,주변 아군을 숲의 기운이 담긴 보호막을 부여하여 피해로부터 보호한다
LouisSkillADescription,관통하는 창을 연속으로 5개 던진다. 창에 맞은 적들은 출혈을 일으킨다
LouisSkillBDescription,늑대의 힘을 빌려와 주변 아군과 함께 공격속도와 공격력을 상승시킨다
LucySkillADescription,적의 뒤에 그림자를 소환하여 적을 베어 강력한 데미지를 준다
LucySkillBDescription,일정 지역에 그림자를 전개하여 적들의 속도를 늦추고 공격한다
KyleSkillADescription,검을 휘둘러 단일 적에게 피해를 주고 영혼을 흡수하여 생명력을 회복한다
KyleSkillBDescription,망자의 한기가 서린 대검을 휘둘러 광역 피해를 입히고 피해를 받은 적들을 얼린다
KunSkillADescription,여러 개의 폭탄을 던져 광역 피해를 준다
KunSkillBDescription,광역 피해를 주고 적들을 중독 상태에 빠뜨리는 커다란 폭탄을 던진다
